id,gender,age,att1,att2,att3,bel1,bel2,bel3,bel4,stance1,stance2,stance3,stance4,ethic1,ethic2,ethic3
1,2,18,2,3,2,2,2,2,3,3,2,2,2,3,3,3
2,2,18,3,2,2,1,2,2,3,2,3,2,3,3,3,1
3,1,18,2,1,1,1,2,1,2,3,1,1,1,1,1,1
4,2,18,4,4,3,1,4,2,3,4,4,2,1,3,3,2
5,1,18,2,2,3,2,3,2,1,3,2,2,3,2,2,1
6,2,19,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7,2,18,1,1,1,1,2,1,1,2,2,1,1,1,1,1
8,2,18,2,1,1,1,1,2,1,1,1,2,1,3,3,1
9,2,18,3,2,3,2,3,1,2,3,2,1,3,2,2,3
10,2,31,3,2,1,2,1,1,1,2,3,1,2,3,3,2
11,2,18,2,2,1,1,1,1,1,2,2,1,2,2,2,1
12,2,19,3,3,4,2,3,2,2,4,4,1,1,4,3,2
13,2,18,4,3,3,1,4,1,1,4,4,1,1,4,2,1
14,2,18,1,1,1,1,1,1,1,1,2,1,1,1,1,1
15,1,18,4,3,3,3,3,2,2,4,3,3,3,2,1,1
16,2,19,2,3,3,1,1,1,2,2,3,2,1,2,1,1
17,2,18,3,3,3,1,3,2,2,3,3,3,2,2,1,2
18,2,19,4,4,4,3,4,3,2,4,4,3,3,3,4,3
19,2,20,3,3,2,1,2,3,3,3,3,2,3,2,3,3
20,2,19,4,3,3,2,3,2,2,5,2,2,2,3,3,2
21,2,18,4,4,3,2,3,3,3,4,3,3,2,4,3,3
22,2,19,3,4,3,2,3,3,2,3,4,2,2,3,3,2
23,2,20,4,3,3,2,3,3,4,4,3,3,3,4,3,3
24,1,20,3,2,1,2,2,2,2,3,3,3,2,3,2,2
25,2,21,3,4,2,2,2,1,2,3,1,2,3,2,1,3
26,2,19,3,1,1,1,3,1,1,2,1,1,1,4,1,3
27,2,18,5,5,5,1,4,2,2,5,5,1,2,3,2,2
28,1,18,4,4,5,2,4,3,3,4,4,3,2,3,3,2
29,2,18,3,3,2,1,3,1,1,3,3,2,1,1,1,3
30,2,18,3,4,3,2,3,1,1,4,3,3,2,4,2,1
31,1,18,2,2,1,1,1,1,2,3,3,2,1,4,4,3
32,2,19,3,4,1,2,3,2,3,3,2,3,3,5,3,3
33,2,18,3,3,3,1,3,2,3,4,4,2,3,4,4,1
34,2,18,1,2,2,1,1,1,1,3,1,1,1,3,2,1
35,2,18,4,4,3,2,5,4,4,4,3,3,4,2,2,4
36,2,19,4,3,1,1,1,1,1,2,1,1,3,2,2,1
37,2,20,2,2,3,1,1,1,2,2,1,2,2,2,3,2
38,2,19,4,4,2,1,1,3,4,2,1,1,1,3,3,4
39,2,18,3,2,1,1,3,2,2,2,2,3,3,2,2,1
40,2,19,3,2,1,1,3,1,2,2,2,1,3,2,1,2
41,2,18,5,5,2,1,4,4,5,5,5,4,3,5,4,5
42,1,19,3,3,3,2,2,2,2,4,4,4,3,3,2,2
43,2,19,4,4,1,2,1,2,3,3,3,3,1,4,3,3
44,2,18,2,3,1,1,1,2,1,2,3,1,2,2,1,1
45,2,19,3,3,2,2,3,1,2,3,3,2,2,3,3,2
46,2,20,4,3,2,2,3,2,3,3,2,2,2,3,3,3
47,2,18,4,4,3,2,4,3,2,3,4,4,3,4,4,3
48,2,18,4,5,2,3,5,3,2,4,5,1,3,4,4,4
49,2,19,1,3,1,2,2,2,3,2,2,1,2,2,1,1
50,2,19,1,2,2,2,4,1,1,5,3,1,2,4,4,2
51,2,21,1,1,1,2,2,2,2,1,1,1,2,3,3,2
52,2,19,4,3,1,1,3,1,2,2,2,2,2,3,4,3
53,1,20,2,2,1,1,1,2,2,3,2,2,1,2,1,2
54,2,21,4,5,2,1,5,2,1,3,3,3,2,4,3,3
55,2,19,3,4,2,1,1,1,2,3,3,3,1,2,1,1
56,2,20,4,3,3,3,3,2,1,4,3,1,2,3,4,3
57,2,20,3,2,3,1,3,2,3,3,4,2,1,5,5,5
58,2,18,5,4,3,3,5,2,3,4,4,5,4,4,3,5
59,2,18,3,4,3,2,1,4,3,3,2,3,2,1,1,2
60,2,18,4,4,2,3,3,3,3,4,4,4,3,3,4,5
61,2,19,3,3,2,1,2,1,2,3,3,2,3,1,1,2
62,2,18,3,3,1,1,4,1,1,4,4,2,3,2,2,1
63,2,20,3,3,3,2,2,3,3,4,4,4,2,3,3,3
64,2,20,2,2,1,1,1,1,1,2,1,1,2,1,1,1
65,2,20,3,3,3,2,3,2,2,3,2,2,1,3,2,2
66,2,18,4,3,2,3,3,2,2,3,2,3,3,4,4,2
67,2,19,1,1,2,1,1,1,1,1,1,1,1,1,1,1
68,2,19,3,4,1,1,3,2,2,3,3,3,1,4,3,2
69,2,18,2,3,3,1,4,2,2,4,3,3,2,3,2,2
70,2,18,5,5,5,3,4,3,5,5,5,4,5,5,5,3
71,2,20,4,4,2,3,4,2,3,4,4,2,4,4,4,3
72,2,18,4,5,5,4,5,3,4,4,5,5,5,4,4,4
73,1,19,3,3,3,2,1,2,2,3,3,1,1,2,2,2
74,2,18,2,3,3,2,2,1,1,3,2,2,1,3,3,3
75,2,18,4,5,4,2,3,1,2,2,2,1,3,4,4,3
76,2,18,5,5,1,3,3,2,2,3,1,5,4,3,1,3
77,2,18,5,4,5,1,3,3,3,5,5,1,2,3,2,3
78,2,18,3,4,1,2,2,3,4,2,2,4,2,5,5,4
79,2,19,3,3,3,2,2,3,2,4,4,3,3,3,3,4
80,2,23,4,4,3,1,1,1,1,3,3,1,1,1,3,1
