id,gender,age,use1,use2,use3,use4,use5,use6,pre1,pre2,pre3,pre4,pre5,pre6,comfort1,comfort2,days,hours
1201,2,18,2,3,2,2,2,2,3,3,2,2,2,3,3,3,8,2
1202,2,18,3,2,2,1,2,2,3,2,3,2,3,3,3,1,8,3
1203,1,18,2,1,1,1,2,1,2,3,1,1,1,1,1,1,8,7
1204,2,18,4,4,3,1,4,2,3,4,4,2,1,3,3,2,6,3
1205,1,18,2,2,3,2,3,2,1,3,2,2,3,2,2,1,7,2
1206,2,19,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,1
1207,2,18,1,1,1,1,2,1,1,2,2,1,1,1,1,1,3,3
1208,2,18,2,1,1,1,1,2,1,1,1,2,1,3,3,1,8,2
1209,2,18,3,2,3,2,3,1,2,3,2,1,3,2,2,3,8,8
1210,2,31,3,2,1,2,1,1,1,2,3,1,2,3,3,2,8,2
1211,2,18,2,2,1,1,1,1,1,2,2,1,2,2,2,1,7,3
1212,2,19,3,3,4,2,3,2,2,4,4,1,1,4,3,2,8,7
1213,2,18,4,3,3,1,4,1,1,4,4,1,1,4,2,1,2,4
1214,2,18,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,3
1215,1,18,4,3,3,3,3,2,2,4,3,3,3,2,1,1,8,8
1216,2,19,2,3,3,1,1,1,2,2,3,2,1,2,1,1,8,6
1217,2,18,3,3,3,1,3,2,2,3,3,3,2,2,1,2,8,2
1218,2,19,4,4,4,3,4,3,2,4,4,3,3,3,4,3,8,7
1219,2,20,3,3,2,1,2,3,3,3,3,2,3,2,3,3,8,3
1220,2,19,4,3,3,2,3,2,2,5,2,2,2,3,3,2,8,4
1221,2,18,4,4,3,2,3,3,3,4,3,3,2,4,3,3,8,7
1222,2,19,3,4,3,2,3,3,2,3,4,2,2,3,3,2,8,5
1222,2,20,4,3,3,2,3,3,4,4,3,3,3,4,3,3,8,4
1223,1,20,3,2,1,2,2,2,2,3,3,3,2,3,2,2,8,7
1224,2,21,3,4,2,2,2,1,2,3,1,2,3,2,1,3,8,6
1225,2,19,3,1,1,1,3,1,1,2,1,1,1,4,1,3,8,6
1226,2,18,5,5,5,1,4,2,2,5,5,1,2,3,2,2,6,5
1227,1,18,4,4,5,2,4,3,3,4,4,3,2,3,3,2,8,6
1228,2,18,3,3,2,1,3,1,1,3,3,2,1,1,1,3,8,2
1229,2,18,3,4,3,2,3,1,1,4,3,3,2,4,2,1,8,5
1230,1,18,2,2,1,1,1,1,2,3,3,2,1,4,4,3,8,3
1231,2,19,3,4,1,2,3,2,3,3,2,3,3,5,3,3,8,6
1232,2,18,3,3,3,1,3,2,3,4,4,2,3,4,4,1,8,4
1233,2,18,1,2,2,1,1,1,1,3,1,1,1,3,2,1,8,2
1234,2,18,4,4,3,2,5,4,4,4,3,3,4,2,2,4,8,8
1235,2,19,4,3,1,1,1,1,1,2,1,1,3,2,2,1,6,2
1236,2,20,2,2,3,1,1,1,2,2,1,2,2,2,3,2,8,4
1237,2,19,4,4,2,1,1,3,4,2,1,1,1,3,3,4,8,5
1238,2,18,3,2,1,1,3,2,2,2,2,3,3,2,2,1,8,3
1239,2,19,3,2,1,1,3,1,2,2,2,1,3,2,1,2,8,3
1240,2,18,5,5,2,1,4,4,5,5,5,4,3,5,4,5,8,8
2101,1,19,3,3,3,2,2,2,2,4,4,4,3,3,2,2,8,5
2102,2,19,4,4,1,2,1,2,3,3,3,3,1,4,3,3,8,5
2103,2,18,2,3,1,1,1,2,1,2,3,1,2,2,1,1,8,5
2104,2,19,3,3,2,2,3,1,2,3,3,2,2,3,3,2,8,3
2105,2,20,4,3,2,2,3,2,3,3,2,2,2,3,3,3,8,5
2106,2,18,4,4,3,2,4,3,2,3,4,4,3,4,4,3,8,8
2107,2,18,4,5,2,3,5,3,2,4,5,1,3,4,4,4,8,3
2108,2,19,1,3,1,2,2,2,3,2,2,1,2,2,1,1,8,2
2109,2,19,1,2,2,2,4,1,1,5,3,1,2,4,4,2,8,5
2110,2,21,1,1,1,2,2,2,2,1,1,1,2,3,3,2,8,5
2111,2,19,4,3,1,1,3,1,2,2,2,2,2,3,4,3,8,5
2112,1,20,2,2,1,1,1,2,2,3,2,2,1,2,1,2,3,1
2113,2,21,4,5,2,1,5,2,1,3,3,3,2,4,3,3,8,3
2115,2,19,3,4,2,1,1,1,2,3,3,3,1,2,1,1,8,4
2115,2,20,4,3,3,3,3,2,1,4,3,1,2,3,4,3,6,4
2116,2,20,3,2,3,1,3,2,3,3,4,2,1,5,5,5,8,7
2117,2,18,5,4,3,3,5,2,3,4,4,5,4,4,3,5,8,4
2118,2,18,3,4,3,2,1,4,3,3,2,3,2,1,1,2,8,3
2119,2,18,4,4,2,3,3,3,3,4,4,4,3,3,4,5,2,2
2120,2,19,3,3,2,1,2,1,2,3,3,2,3,1,1,2,7,5
2121,2,18,3,3,1,1,4,1,1,4,4,2,3,2,2,1,8,4
2122,2,20,3,3,3,2,2,3,3,4,4,4,2,3,3,3,8,3
2123,2,20,2,2,1,1,1,1,1,2,1,1,2,1,1,1,7,4
2124,2,20,3,3,3,2,3,2,2,3,2,2,1,3,2,2,7,3
2126,2,18,4,3,2,3,3,2,2,3,2,3,3,4,4,2,8,2
2127,2,19,1,1,2,1,1,1,1,1,1,1,1,1,1,1,8,2
2128,2,19,3,4,1,1,3,2,2,3,3,3,1,4,3,2,6,5
2129,2,18,2,3,3,1,4,2,2,4,3,3,2,3,2,2,8,4
2130,2,18,5,5,5,3,4,3,5,5,5,4,5,5,5,3,8,6
2131,2,20,4,4,2,3,4,2,3,4,4,2,4,4,4,3,8,7
2132,2,18,4,5,5,4,5,3,4,4,5,5,5,4,4,4,8,5
2133,1,19,3,3,3,2,1,2,2,3,3,1,1,2,2,2,1,3
2134,2,18,2,3,3,2,2,1,1,3,2,2,1,3,3,3,6,2
2135,2,18,4,5,4,2,3,1,2,2,2,1,3,4,4,3,8,4
2136,2,18,5,5,1,3,3,2,2,3,1,5,4,3,1,3,8,8
2137,2,18,5,4,5,1,3,3,3,5,5,1,2,3,2,3,8,5
2138,2,18,3,4,1,2,2,3,4,2,2,4,2,5,5,4,8,5
2139,2,19,3,3,3,2,2,3,2,4,4,3,3,3,3,4,8,3
2140,2,23,4,4,3,1,1,1,1,3,3,1,1,1,3,1,7,3
